Blue-Blue,Blue-Red,Red-Red,Max Districts Achievable?
0,241,47,False
1,239,48,False
2,237,49,False
3,235,50,False
4,233,51,False
5,231,52,False
6,229,53,False
7,227,54,False
8,225,55,False
9,223,56,False
10,221,57,False
11,219,58,False
12,217,59,False
13,215,60,False
14,213,61,False
15,211,62,False
16,209,63,False
17,207,64,False
18,205,65,True
19,203,66,True
20,201,67,True
21,199,68,True
22,197,69,True
23,195,70,True
24,193,71,True
25,191,72,True
26,189,73,True
27,187,74,True
28,185,75,True
29,183,76,True
30,181,77,True
31,179,78,True
32,177,79,True
33,175,80,True
34,173,81,True
35,171,82,True
36,169,83,True
37,167,84,True
38,165,85,True
39,163,86,True
40,161,87,True
41,159,88,True
42,157,89,True
43,155,90,True
44,153,91,True
45,151,92,True
46,149,93,True
47,147,94,True
48,145,95,True
49,143,96,True
50,141,97,True
51,139,98,True
52,137,99,True
53,135,100,True
54,133,101,True
55,131,102,True
56,129,103,True
57,127,104,True
58,125,105,True
59,123,106,True
60,121,107,True
61,119,108,True
62,117,109,True
63,115,110,True
64,113,111,True
65,111,112,True
66,109,113,True
67,107,114,True
68,105,115,True
69,103,116,True
70,101,117,True
71,99,118,True
72,97,119,True
73,95,120,True
74,93,121,True
75,91,122,True
76,89,123,True
77,87,124,True
78,85,125,True
79,83,126,True
80,81,127,True
81,79,128,True
82,77,129,True
83,75,130,True
84,73,131,True
85,71,132,True
86,69,133,True
87,67,134,True
88,65,135,True
89,63,136,True
90,61,137,True
91,59,138,True
92,57,139,True
93,55,140,True
94,53,141,True
95,51,142,True
96,49,143,True
97,47,144,True
98,45,145,True
99,43,146,True
100,41,147,True
101,39,148,True
102,37,149,True
103,35,150,True
104,33,151,True
105,31,152,True
106,29,153,True
107,27,154,True
108,25,155,True
109,23,156,True
110,21,157,True
111,19,158,True
112,17,159,True
113,15,160,True
114,13,161,True
115,11,162,True
116,9,163,False
117,7,164,False
118,5,165,False
119,3,166,False
120,1,167,False
