Blue-Blue,Blue-Red,Red-Red,Max Districts Achievable?
106,286,0,True
107,284,1,True
108,282,2,True
109,280,3,True
110,278,4,True
111,276,5,True
112,274,6,True
113,272,7,True
114,270,8,True
115,268,9,True
116,266,10,True
117,264,11,True
118,262,12,True
119,260,13,True
120,258,14,True
121,256,15,True
122,254,16,True
123,252,17,True
124,250,18,True
125,248,19,True
126,246,20,True
127,244,21,True
128,242,22,True
129,240,23,True
130,238,24,True
131,236,25,True
132,234,26,True
133,232,27,True
134,230,28,True
135,228,29,True
136,226,30,True
137,224,31,True
138,222,32,True
139,220,33,True
140,218,34,True
141,216,35,True
142,214,36,True
143,212,37,True
144,210,38,True
145,208,39,True
146,206,40,True
147,204,41,True
148,202,42,True
149,200,43,True
150,198,44,True
151,196,45,True
152,194,46,True
153,192,47,True
154,190,48,True
155,188,49,True
156,186,50,True
157,184,51,True
158,182,52,True
159,180,53,True
160,178,54,True
161,176,55,True
162,174,56,True
163,172,57,True
164,170,58,True
165,168,59,True
166,166,60,True
167,164,61,True
168,162,62,True
169,160,63,True
170,158,64,True
171,156,65,True
172,154,66,True
173,152,67,True
174,150,68,True
175,148,69,True
176,146,70,True
177,144,71,True
178,142,72,True
179,140,73,True
180,138,74,True
181,136,75,True
182,134,76,True
183,132,77,True
184,130,78,True
185,128,79,True
186,126,80,True
187,124,81,True
188,122,82,True
189,120,83,True
190,118,84,True
191,116,85,True
192,114,86,True
193,112,87,True
194,110,88,True
195,108,89,True
196,106,90,True
197,104,91,True
198,102,92,True
199,100,93,True
200,98,94,True
201,96,95,True
202,94,96,True
203,92,97,True
204,90,98,True
205,88,99,True
206,86,100,True
207,84,101,True
208,82,102,True
209,80,103,True
210,78,104,True
211,76,105,True
212,74,106,True
213,72,107,True
214,70,108,True
215,68,109,True
216,66,110,True
217,64,111,True
218,62,112,True
219,60,113,True
220,58,114,True
221,56,115,True
222,54,116,True
223,52,117,True
224,50,118,True
225,48,119,True
226,46,120,True
227,44,121,True
228,42,122,True
229,40,123,True
230,38,124,True
231,36,125,True
232,34,126,True
233,32,127,True
234,30,128,True
235,28,129,True
236,26,130,True
237,24,131,True
238,22,132,True
239,20,133,True
240,18,134,True
241,16,135,True
242,14,136,True
243,12,137,True
244,10,138,True
245,8,139,True
246,6,140,True
247,4,141,True
248,2,142,True
249,0,143,True
