Blue-Blue,Blue-Red,Red-Red,Max Districts Achievable?
768,290,0,True
769,288,1,True
770,286,2,True
771,284,3,True
772,282,4,True
773,280,5,True
774,278,6,True
775,276,7,True
776,274,8,True
777,272,9,True
778,270,10,True
779,268,11,True
780,266,12,True
781,264,13,True
782,262,14,True
783,260,15,True
784,258,16,True
785,256,17,True
786,254,18,True
787,252,19,True
788,250,20,True
789,248,21,True
790,246,22,True
791,244,23,True
792,242,24,True
793,240,25,True
794,238,26,True
795,236,27,True
796,234,28,True
797,232,29,True
798,230,30,True
799,228,31,True
800,226,32,True
801,224,33,True
802,222,34,True
803,220,35,True
804,218,36,True
805,216,37,True
806,214,38,True
807,212,39,True
808,210,40,True
809,208,41,True
810,206,42,True
811,204,43,True
812,202,44,True
813,200,45,True
814,198,46,True
815,196,47,True
816,194,48,True
817,192,49,True
818,190,50,True
819,188,51,True
820,186,52,True
821,184,53,True
822,182,54,True
823,180,55,True
824,178,56,True
825,176,57,True
826,174,58,True
827,172,59,True
828,170,60,True
829,168,61,True
830,166,62,True
831,164,63,True
832,162,64,True
833,160,65,True
834,158,66,True
835,156,67,True
836,154,68,True
837,152,69,True
838,150,70,True
839,148,71,True
840,146,72,True
841,144,73,True
842,142,74,True
843,140,75,True
844,138,76,True
845,136,77,True
846,134,78,True
847,132,79,True
848,130,80,True
849,128,81,True
850,126,82,True
851,124,83,True
852,122,84,True
853,120,85,True
854,118,86,True
855,116,87,True
856,114,88,True
857,112,89,True
858,110,90,True
859,108,91,True
860,106,92,True
861,104,93,True
862,102,94,True
863,100,95,True
864,98,96,True
865,96,97,True
866,94,98,True
867,92,99,True
868,90,100,True
869,88,101,True
870,86,102,True
871,84,103,True
872,82,104,True
873,80,105,True
874,78,106,True
875,76,107,True
876,74,108,True
877,72,109,True
878,70,110,True
879,68,111,True
880,66,112,True
881,64,113,True
882,62,114,True
883,60,115,True
884,58,116,True
885,56,117,True
886,54,118,True
887,52,119,True
888,50,120,True
889,48,121,True
890,46,122,True
891,44,123,True
892,42,124,True
893,40,125,True
894,38,126,True
895,36,127,True
896,34,128,True
897,32,129,True
898,30,130,True
899,28,131,True
900,26,132,True
901,24,133,True
902,22,134,True
903,20,135,True
904,18,136,True
905,16,137,True
906,14,138,True
907,12,139,True
908,10,140,True
909,8,141,True
910,6,142,True
911,4,143,True
912,2,144,True
913,0,145,True
