Blue-Blue,Blue-Red,Red-Red,Number Ways Achieve Max Districts {max_districts}
45,27,0,6437457862205536999937548363843577334718649902471141882521600
46,25,1,6178069439000228926572686196749144497208186316478369800345600
47,23,2,5903330424809177755359725396112684775483956690499426229452800
48,21,3,5619361881509455177162505985970777577449451868171763148037120
49,19,4,5333790292501748711136580616957693285145474461030216783354880
50,17,5,5053339266556670696654739184226370681645208668370358176128000
51,15,6,4781745446547694515333732578521115742717736823618371835136000
52,13,7,4518168495031789393592837484641447270655925097347053779865600
53,11,8,4255981856765157146297588496701169086721217623149305559116800
54,9,9,3981824951519117440410273337846259660285795047392614643993600
55,7,10,3675191003183026867123642312446720469534935803460095800704000
56,5,11,3309760883169809045815047312146749665724787888147407425100800
57,3,12,2859220189396971361149269390956854966917100773347140777753600
58,1,13,2311374132551159840132386875937591514296368079523430101990400
