Blue-Blue,Blue-Red,Red-Red,Number Ways Achieve Max Districts {max_districts}
6,34,32,4119702793668744552990720
7,32,33,52741007957449061282672640
8,30,34,391067335920483837856200960
9,28,35,2182517313141279451147050240
10,26,36,10067099376117426402401722080
11,24,37,39999508568067725941146442560
12,22,38,139670934645258675690367976640
13,20,39,434466503453145897144662771520
14,18,40,1223230273313496383600671406400
15,16,41,3161002305163845727824102864000
16,14,42,7542745703278735529602438416000
17,12,43,16474506522780858756719939424000
18,10,44,31759162390213996192034399820000
19,8,45,49112845041367314750010988520000
20,6,46,48099473173515116520010443600000
21,4,47,19302580122379193369981651400000
22,2,48,2044567947483592942415004000000
