Blue-Blue,Blue-Red,Red-Red,Number Ways Achieve Max Districts {max_districts}
9,47,16,25061458421473536849012401056719631073280
10,45,17,182802589873560442233545589576534959308800
11,43,18,773385169650020932472105632671556854374400
12,41,19,2493728887099823290930626827036484614553600
13,39,20,6802454750821466406665112544900426297344000
14,37,21,16535234628668677438794913611990407737344000
15,35,22,36867947915068881410708760710427967157760000
16,33,23,76696434141805440868380778951886420582400000
17,31,24,150436114968367365454492820801455594014720000
18,29,25,280221548955235354146531734059137472512000000
19,27,26,498668337754590780965070175485338834688000000
20,25,27,852687624045957089759321027379060556800000000
21,23,28,1408531454164182464045410310207669491200000000
22,21,29,2256510761740208616614524638596802170880000000
23,19,30,3508920536357358322745081100988782758400000000
24,17,31,5272246870125369460772774276690271129600000000
25,15,32,7546979775982326622797747999933066240000000000
26,13,33,9964873514326575267149170289887641600000000000
27,11,34,11296764411846856205956991004822635520000000000
28,9,35,9226823427589171549202310379372646400000000000
29,7,36,3111370690698674127056593034904729600000000000
