Blue-Blue,Blue-Red,Red-Red,Number Ways Achieve Max Districts {max_districts}
10,53,9,1150695860963620585480930434023239591944408268800
11,51,10,4964776662815098832348963639684449197318925516800
12,49,11,12798949469492588952632755750669357388201779200000
13,47,12,25828937516797731864652134945192486248912397926400
14,45,13,45199303735502634952176093609990746367800464097280
15,43,14,72151456424769509398316714348733560970273485414400
16,41,15,108064968171552990218045430153100608630029991936000
17,39,16,154405533047373899013810827723160177452072484864000
18,37,17,212600705871779868969141022527341422074551894016000
19,35,18,283895206612407245442979668710103043329027072000000
20,33,19,369271641113731319333405499803031621820508897280000
21,31,20,469522639435031088067671847615398751098564096000000
22,29,21,585472901231588502867432649941452462281355673600000
23,27,22,718187667155065991267310935515635444259367424000000
24,25,23,868890518831917453012134665186123552305410048000000
25,23,24,1038230146292941987321124163995976823918571520000000
26,21,25,1224358578574395272762454705062307077756928000000000
27,19,26,1418926438767038333810134462994322679048704000000000
28,17,27,1599691228982444482462898512518651095586816000000000
29,15,28,1718868996854688950569885685498556328972800000000000
30,13,29,1691079732252421272011135561529646530017280000000000
31,11,30,1403387639253000338351535109135071916992000000000000
32,9,31,814339616580325924487999741678893951795200000000000
33,7,32,200621182136250507712609118890656964608000000000000
