Blue-Blue,Blue-Red,Red-Red,Number Ways Achieve Max Districts {max_districts}
10,55,7,170878335353097656943918169452451079403744627916800
11,53,8,598074173735841799303713593083578777913106197708800
12,51,9,1275322986593116983224322453682902439926657313996800
13,49,10,2162927633299101529855677165720251004000438229401600
14,47,11,3223702026285375612106809562554592185162798670049280
15,45,12,4433813613938790155843314674357802251041536600627200
16,43,13,5781020497373552299666339982282664514445833810329600
17,41,14,7258869537578040998507236397268157360621923078758400
18,39,15,8860973198296582401559192069749167115199191363072000
19,37,16,10577312282759880601063075659478471117226732838912000
20,35,17,12393638121422731020204406549816014689467338301440000
21,33,18,14294209278583366579993854176032626706486981939200000
22,31,19,16266611374475972778562994001849914799218405498880000
23,29,20,18305717456799124166045309235568969375345726598400000
24,27,21,20413251415921603959512981991272107045953082137600000
25,25,22,22589947445185292995052907229340513277318486720000000
26,23,23,24817370046181197663072659095160325296900779680000000
27,21,24,27024933368894187859453471523021393527482860160000000
28,19,25,29035096430089817873638290987958201101673344000000000
29,17,26,30479843385699370733145081560514595681894848000000000
30,15,27,30696661373465295063184988023286582679978960000000000
31,13,28,28676458524626390814903355599826043622834240000000000
32,11,29,23317615528712148765501790307659452142932480000000000
33,9,30,14539105043420353798943725371173972156371200000000000
34,7,31,5378293401886225036644004382948006571907200000000000
35,5,32,746060021069181575556265160874630587136000000000000
