Blue-Blue,Blue-Red,Red-Red,Number Ways Achieve Max Districts {max_districts}
50,22,0,6548988221691976339388675592167806493852425341305223906048000
51,20,1,6434389598683615030789244627675893580398411064248106729472000
52,18,2,6282721400397163564786041362985309136553962550473729910860800
53,16,3,6106814355252601707625539274291365373814401768135725277363200
54,14,4,5917586044895880430260384895076368349592997699293692979648000
55,12,5,5720984180321622918383548077975650318869965662268967692864000
56,10,6,5515575108208808844335300673905194937691597751370174654745600
57,8,7,5290522733015525168443718590370965242308645942890693219507200
58,6,8,5023908724256571338612770133716623171987751575488606792140800
59,4,9,4682315180482594377893125947615817441114694515520648021606400
60,2,10,4224578376942621661644245931971665963053757064441726833689600
61,0,11,3615226207323608980719887164928027753130216739767416313369600
