Blue-Blue,Blue-Red,Red-Red,Number Ways Achieve Max Districts {max_districts}
6,32,34,44060992445655021957120
7,30,35,662869204898140673072640
8,28,36,5799351486432119927351040
9,26,37,38351708753453383759511040
10,24,38,210501519827663558606112000
11,22,39,998943129245793323678486400
12,20,40,4177508084320055575682592000
13,18,41,15590798933480982200493504000
14,16,42,52767691656366708304867584000
15,14,43,164083055394398042462479920000
16,12,44,469001603372735437032188160000
17,10,45,1199272807587695109498028800000
18,8,46,2489920068522555346886208000000
19,6,47,2952674750132149807747382400000
20,4,48,849690575577597066977664000000
