Blue-Blue,Blue-Red,Red-Red,Number Ways Achieve Max Districts {max_districts}
12,60,0,933254079070967090571092409482594999576504130303138201600
13,58,1,411264509421104141607600044856736779474391650642060902400
14,56,2,195058303318902387792110366102650716943692107745538867200
15,54,3,98897545368958799932862079752300586715711240853127168000
16,52,4,53264862060193149791774458206056911859543699041026048000
17,50,5,30292394208507207277102139222011034118198418735104000000
18,48,6,18087494826550636731133272457319500993576315461304320000
19,46,7,11276735364120842083378892027278012059824476874342400000
20,44,8,7302182372376628423392561599792667172604318633164800000
21,42,9,4886658789378697618403705721446183311450227867648000000
22,40,10,3364022012166789025362513839552545850265169821696000000
23,38,11,2372644784469455766676556443448291995109580865536000000
24,36,12,1708796567553027434494961382150613077361875222528000000
25,34,13,1253581881654254215273124721187880346938612121600000000
26,32,14,935154270342667669449689601080533669176252825600000000
27,30,15,708548091778403394249622414322709973898035200000000000
28,28,16,544639864492349319609314333308418397520527360000000000
29,26,17,423950254681281681381862299222165163750195200000000000
30,24,18,333044971222576899215931770151781343617351680000000000
31,22,19,262356572540218514746947413921486885309644800000000000
32,20,20,204824809593051535035947133852525181639065600000000000
33,18,21,155091232843572882889795334266588273783603200000000000
34,16,22,109246654581636244551302373823005576501657600000000000
35,14,23,65434194150459208976040484321071048425472000000000000
36,12,24,25886054828753093660851180610533601574912000000000000
