Blue-Blue,Blue-Red,Red-Red,Number Ways Achieve Max Districts {max_districts}
8,41,23,777998852610781997291579175813120
9,39,24,8282841443039179068726202688839680
10,37,25,50848029087761561613248145254400000
11,35,26,236205335907998224460033048547840000
12,33,27,920330204403296534819743481149440000
13,31,28,3163227253368301840829950401880320000
14,29,29,9856135109649072807017459692047360000
15,27,30,28277945317174033140041933302752000000
16,25,31,75448668017446107642258730329600000000
17,23,32,188729435779872756323519040620544000000
18,21,33,446306880303297471318645986353152000000
19,19,34,1005367462002113204179679454664704000000
20,17,35,2166410214267057154273367153664000000000
21,15,36,4451882111376790490824890232166400000000
22,13,37,8572555588522191709566154481049600000000
23,11,38,14721584761468326794435052955084800000000
24,9,39,19639727132979496760897181633331200000000
25,7,40,11859738606871676787981389875200000000000
