Blue-Blue,Blue-Red,Red-Red,Number Ways Achieve Max Districts {max_districts}
6,31,35,2753812027853438872320
7,29,36,45082567875342587990400
8,27,37,430458497248200612871680
9,25,38,3117001120259011376751360
10,23,39,18801202351614568764278400
11,21,40,98434968983172133760448000
12,19,41,456039422574057002064384000
13,17,42,1894049253995701745150208000
14,15,43,7173290924912305949595840000
15,13,44,25114545768134741614375680000
16,11,45,81210506124819794192870400000
17,9,46,233783845934395967924313600000
18,7,47,516522428837960322294316800000
19,5,48,339876230231038826791065600000
