Blue-Blue,Blue-Red,Red-Red,Number Ways Achieve Max Districts {max_districts}
39,33,0,6036406143899409406322226339313504089986966415599442086400000
40,31,1,5520624493637709025954424978380141290551341788002456866406400
41,29,2,5054050398660170967554442918178617097821303581650069243814400
42,27,3,4627119906804611920017226458049346215169351639973656934566400
43,25,4,4234879092011762584930362340611737922435311797844430067238400
44,23,5,3875155519134020679425440266516332489972385800676290238497280
45,21,6,3546847222535244376455915135702061342006919417346883412025600
46,19,7,3248504532283227285967864129178264454551690149415206120723200
47,17,8,2977301120573170314188745191261201737527066742404139793740800
48,15,9,2728351068399944948993906739429318395650086074262168937313280
49,13,10,2494254919621834587555502310987755575117955038778227134745600
50,11,11,2264823773371007211195141418734758561305941496041900170880000
51,9,12,2027180408176339734233456941873946518928491775577878987520000
52,7,13,1766930837030714700542290963903412236919434235552527918080000
53,5,14,1471817733663193411402423491331350382975768889745091454400000
54,3,15,1139563145627278068010817694139144219778802282884725876800000
55,1,16,789034562241893374433132005716443737242798548604081360000000
