Blue-Blue,Blue-Red,Red-Red,Number Ways Achieve Max Districts {max_districts}
40,32,0,6134650267758780907344664693777001766069942535141724985446400
41,30,1,5665576512563903616595896114347922933350717338374007168588800
42,28,2,5231861161857331811025090752595239251699002011577079748467200
43,26,3,4827350962468237641738114828684904296377954275022830861017600
44,24,4,4449848276293836463085205995616056123110312477989344463367680
45,22,5,4099300337052207042637485368048453532350565283109782259481600
46,20,6,3776071838455000784126165997585397909684393385749276081516800
47,18,7,3479525104909623567398536797821091188801093902089743664057600
48,16,8,3207000576739986002564789590551129135518177822655482064122880
49,14,9,2953130467902327102763148283994507609637742266894723352069120
50,12,10,2709366397062555387019272890267289968823671692655022345600000
51,10,11,2463729110770449749899413456055434718648927256196160437120000
52,8,12,2201151689365629582623290424240275901697830168230170405120000
53,6,13,1905456790195062049291227380268301464463882511406934047360000
54,4,14,1564839977410133116624092164333625882759740280906389676480000
55,2,15,1182485012980590479469309819252127952334231311572151736000000
56,0,16,789034562241893374433132005716443737242798548604081360000000
