Blue-Blue,Blue-Red,Red-Red,Number Ways Achieve Max Districts {max_districts}
8,42,22,16337975904826421943123162692075520
9,40,23,160704202018553969147863025364910080
10,38,24,911399017036044905753068923189350400
11,36,25,3910075101348755485285437494676480000
12,34,26,14064026513811542263201836297507840000
13,32,27,44600048973604458282132692873164800000
14,30,28,128145799034871445569445713043594560000
15,28,29,338844286511065071627738865358140800000
16,26,30,832774248491900527143680759714304000000
17,24,31,1917635592693736519990730064040320000000
18,22,32,4170826528608873395586322587004416000000
19,20,33,8631944764416006070378382871717888000000
20,18,34,17077342625293407433575633115361280000000
21,16,35,32256913971292410811938069595852800000000
22,14,36,57479335306676750529383853576844800000000
23,12,37,93484149492985691235174480157056000000000
24,10,38,128026790548764894901396640732774400000000
25,8,39,119190372999060351719212968245760000000000
26,6,40,38544150472332949560939517094400000000000
