Blue-Blue,Blue-Red,Red-Red,Number Ways Achieve Max Districts {max_districts}
11,55,6,170878335353097656943918169452451079403744627916800
12,53,7,531621487765192710492189860518736691478316620185600
13,51,8,1023120599095276537173648410809644198694118778470400
14,49,9,1586013939081951171812437674888306577906454023372800
15,47,10,2184182939862938974255409824114755750425222676480000
16,45,11,2802178658782538649838406501250587681111447961600000
17,43,12,3436674809887118150115699580304940634300085698560000
18,41,13,4089064379090075494449995359534792787746829107200000
19,39,14,4760587538360969930473972917924464548098350776320000
20,37,15,5449877878897086622229275457348917196020776960000000
21,35,16,6152760206177901039353875599714400838825803776000000
22,33,17,6864123374013607582650544293547758950994149376000000
23,31,18,7581079539754913780632453863933815319267508224000000
24,29,19,8305480847700180833179401481644208595156336640000000
25,27,20,9043271967227413722148902627863144361492480000000000
26,25,21,9799012325980098290008033120002757990809600000000000
27,23,22,10564041567024799562503393145266279764492288000000000
28,21,23,11295040971917281642852505515188662928015360000000000
29,19,24,11876758548406160663314776755548504075272192000000000
30,17,25,12061602608379577691436033976234294640640000000000000
31,15,26,11392560588696022991364191466615048609792000000000000
32,13,27,9190637113569900900596322527689450979328000000000000
33,11,28,4948804599614562023398019822602012065792000000000000
