Blue-Blue,Blue-Red,Red-Red,Number Ways Achieve Max Districts {max_districts}
48,24,0,6518701293689301729342541899736876530438679759413146251422720
49,22,1,6354762690130529320820264677635595099587307365594568677811200
50,20,2,6159296435956065550507279085553221443803248151393802272768000
51,18,3,5943037614039238304910895393879116097951092061232219415552000
52,16,4,5716423660477619019243848212452173188002790920299462694988800
53,14,5,5486732191054643827604667768051036761813895742770086633625600
54,12,6,5255791084478281459677750330547520028301811251409384718912000
55,10,7,5018174409348910180847745468264168794008112025750119625024000
56,8,8,4759693459590739459973660692786522045155597495777700583500800
57,6,9,4456423856401425910941626572518032266296607999241097399321600
58,4,10,4075663924916388483041509307852909481805974181749154765209600
59,2,11,3582223322103639803651359883417996317817441670736410992025600
60,0,12,2955168502924225439349341534727399046874715359147309886489600
