Blue-Blue,Blue-Red,Red-Red,Number Ways Achieve Max Districts {max_districts}
54,18,0,6577325399157719828935856940945637220835788479445128824345600
55,16,1,6529821034407082008215269745726979573003200812637349349248000
56,14,2,6444791107734361216491248591562082419373472997618796329753600
57,12,3,6336342172294346602573689623778698184993790652900797609804800
58,10,4,6212371662747157455305529558281781546919215687194234051481600
59,8,5,6071383527904599862029204074368754544389045261694219987072000
60,6,6,5899707623921290107491822338324947086850712243614329096985600
61,4,7,5669038661275238509608054636247347558815054204721457934361600
62,2,8,5335702783960714663484116005810769194096243747466045237017600
63,0,9,4845984240795961471141882422462576634544495116803267865881600
