Blue-Blue,Blue-Red,Red-Red,Number Ways Achieve Max Districts {max_districts}
11,60,1,933254079070967090571092409482594999576504130303138201600
12,58,2,1194248863895898565052838591795524109627560370133676851200
13,56,3,1150425178173462669156125412833522569202236817865297100800
14,54,4,1005725318357291896707187034982102268937606165073036902400
15,52,5,847387062850947439667610108328745161597785612798610636800
16,50,6,706217557440252472124064490663113882703581401552850124800
17,48,7,589471407472550720501188294461679555486901923225967001600
18,46,8,495750366068427656081414443462383469797209255503149465600
19,44,9,421159116781831994239272421270305986158295467454437785600
20,42,10,361634991885527490429951969179891309433573944733450240000
21,40,11,313705438159111009728860637922933175744523542882549760000
22,38,12,274639105176760048774329145156376446014059734463815680000
23,36,13,242384185351892352154091220734992410017969839933562880000
24,34,14,215444260680751467653760908430463024559590896590561280000
25,32,15,192743756560144080731690485574234485920368084766720000000
26,30,16,173500409574041977698674027550277823506030987031040000000
27,28,17,157112711134936129689479942694449006622716345779200000000
28,26,18,143066153312003265802159012140263501168960746567680000000
29,24,19,130856273429384672619317489470833227704742961039360000000
30,22,20,119921080235638397007961660710278202266661028992000000000
31,20,21,109574621721649813885296625113950000914403000832000000000
32,18,22,98942037584246611925219737713957693707525099520000000000
33,16,23,86924813086406382213370337741261152226491195392000000000
34,14,24,72296180012755875075467610154711899632759691264000000000
35,12,25,54170146757250095128644582187362255147674112000000000000
36,10,26,33237978090607004385365787645379318021770240000000000000
37,8,27,13679288495321306452371186628784174953344000000000000000
38,6,28,2425793826503645010887157095504393691726336000000000000
