Blue-Blue,Blue-Red,Red-Red,Number Ways Achieve Max Districts {max_districts}
11,56,5,9569186779773468788859417489337260446609699163340800
12,54,6,25631750302964648541587725417867661910561694187520000
13,52,7,43292044173482485631779083735827689819253104390963200
14,50,8,59752249105985905215131603756794612662949662385766400
15,48,9,74094059995281012891065427793211529080416150093824000
16,46,10,86369817783449815309590219410651440803402142187520000
17,44,11,96966960844531963477176792242862278343650774876160000
18,42,12,106289447372358131600323429654885418812957839851520000
19,40,13,114634806567897257208116936316279556703764453785600000
20,38,14,122173233405897263183608286594770278128666778009600000
21,36,15,128978759727486715471163791871422978962455003136000000
22,34,16,135086000900679167560541844128258649140705624064000000
23,32,17,140549769930643760675340014540350484891783135232000000
24,30,18,145480095339130344030625675232345666449395154944000000
25,28,19,150028756142543569092686852772591420041920512000000000
26,26,20,154321637965284147521546190001137328760094720000000000
27,24,21,158338605058036641457583836464160694382624768000000000
28,22,22,161730402870487253183605724227297588715913216000000000
29,20,23,163541762066692646470969755179513771745607680000000000
30,18,24,161807152841575058454220110543306577247600640000000000
31,16,25,153069275601967078140380418679648345423872000000000000
32,14,26,132243056245255796291913751926198211313664000000000000
33,12,27,94380773435506290017662235188195515826176000000000000
34,10,28,42064839096723777198883168492117102559232000000000000
