Blue-Blue,Blue-Red,Red-Red,Number Ways Achieve Max Districts {max_districts}
7,40,25,18975581770994682860770223800320
8,38,26,187566327505601288277613366026240
9,36,27,1069232194741858996902219758592000
10,34,28,4595620809475604633770303446988800
11,32,29,16453062017192480836063360929315840
12,30,30,51453609486245187854920413801554880
13,28,31,144134443061493922888346456800519680
14,26,32,367064887740244422299180309111892480
15,24,33,859449366265247283978944106975360000
16,22,34,1870823000599109669399402398790707200
17,20,35,3825295383428008953385433962074624000
18,18,36,7401410850048634514880499662275328000
19,16,37,13576548411142026190823498314606848000
20,14,38,23441245127897802712279297828823520000
21,12,39,37244783326262612821143817912277760000
22,10,40,51696977770639555759858662317908800000
23,8,41,55930224849002588992597071234652800000
24,6,42,37088074094181714148704243199315200000
25,4,43,10662080794792718654935340889120000000
26,2,44,917927485644406241815625374560000000
