Blue-Blue,Blue-Red,Red-Red,Number Ways Achieve Max Districts {max_districts}
30,42,0,4233573029904834850336253942279280994261157108284988697984000
31,40,1,3413508950635677344977787205524466737854359188439257659008000
32,38,2,2792415271684863400787766001819086521890412643675529501132800
33,36,3,2311484629127117979539514362754561827108574843335794891622400
34,34,4,1931664764223143615696346862512418696124328426162669810124800
35,32,5,1626646735681386401751278424728498848605996412845423300864000
36,30,6,1378441424381682275922087658189394095459349778529410928972800
37,28,7,1174497883803003206899238055230233068030159319650543544857600
38,26,8,1005782549748543660330220850889637928348539354131932697446400
39,24,9,865495031342514421856342300933995016630910590476554259660800
40,22,10,748225442156012513691038451212107568903137686344077802880000
41,20,11,649415685937422015227134402447258632583559177132793724800000
42,18,12,565017404403563493787251419910747134119827168949064012160000
43,16,13,491269937998069300711301355168658465413755702550860188800000
44,14,14,424563864298489908708351959521215254390233052193975673920000
45,12,15,361416621329803286483491964032468577479215788369030280000000
46,10,16,298676711382152750689161197550475351695604715186064336000000
47,8,17,234185116253401545889111022079646137843177852932994576000000
48,6,18,168135429642555788635200758109571934152057705947023184000000
49,4,19,104825690855939045037687850874625028041700654222055760000000
50,2,20,52710400118655480056438056491391837678066858856850000000000
51,0,21,19465690566969649235357557101871873630473775511250000000000
