Blue-Blue,Blue-Red,Red-Red,Number Ways Achieve Max Districts {max_districts}
10,54,8,15534394123008877903992560859313734491249511628800
11,52,9,60422388321919926214970365997861807252477136076800
12,50,10,141669714310476205659192250972585800796347575500800
13,48,11,261928139038670547195832853386241811049717987737600
14,46,12,422541439339321089786775967713329942570592682004480
15,44,13,625163626058820188701705603581081613164139577548800
16,42,14,872081322573582283916788450523877562744982033203200
17,40,15,1165759316366178822686853697497661387506303787008000
18,38,16,1508068130262505418931058287809813453704055119872000
19,36,17,1899609697231127005437407289086401037622388310016000
20,34,18,2339549533254704280011115973547639163464470118400000
21,32,19,2826220990195950504660985368109213335168098795520000
22,30,20,3358329084289970033011667690816478968865134784000000
23,28,21,3935985861590041916536291473705961478757935539200000
24,26,22,4560511680419777814864398838346269761622580224000000
25,24,23,5231892545645076434747954385176422516844428800000000
26,22,24,5942514091537961320243321188798509389967976960000000
27,20,25,6664984932335271712263693528439497561679104000000000
28,18,26,7330811493101528097398922733152267170383872000000000
29,16,27,7797305854028346066715765954390531919341056000000000
30,14,28,7809233697690258358113158636739679536129600000000000
31,12,29,6998477306085211079892477721184294671278720000000000
32,10,30,5061603296297890604502159648580572424704000000000000
33,8,31,2348521713382482505910730498013753091942400000000000
34,6,32,426320012039532328889294377642646049792000000000000
