Blue-Blue,Blue-Red,Red-Red,Number Ways Achieve Max Districts {max_districts}
9,46,17,1066445039211639865915421321562537492480
10,44,18,8462009550266272849111495268920134451200
11,42,19,38875641836377802088893556315099477196800
12,40,20,135920992590671284189825331447222931456000
13,38,21,401536321830667860387935565757231079424000
14,36,22,1055909836317532117769073036882424184832000
15,34,23,2544457493124474330940488290200019558400000
16,32,24,5715206107408113097825656459006769889280000
17,30,25,12091809289504831860911183376818688000000000
18,28,26,24271389430612223607694048981332750336000000
19,26,27,46501979181925130356975912887452835840000000
20,24,28,85549608973609850584707026361246720000000000
21,22,29,151960566390375973157527560411072061440000000
22,20,30,261589277052142567618814658321382195200000000
23,18,31,436327590260147069207128524717575577600000000
24,16,32,700034062605506846886362662638570700800000000
25,14,33,1057860024269229491668038972555264000000000000
26,12,34,1432266911430231786754834194627502080000000000
27,10,35,1532694921526440456678124647736320000000000000
28,8,36,858309156054806655739749802732339200000000000
