Blue-Blue,Blue-Red,Red-Red,Number Ways Achieve Max Districts {max_districts}
46,26,0,6470517171045429205366403345924240343420963888921201069465600
47,24,1,6245799110317835085089092332206791682012460329417658732595200
48,22,2,5999224004249628559970505615055977228978700096860969288760320
49,20,3,5738644235690505612424744942387374786213766948541251020364800
50,18,4,5472886078872258185453103515198459077832264300218726187904000
51,16,5,5209176423178517424844166568041481014085071926314929606016000
52,14,6,4950983630827035607681436785640857345721280706715932556697600
53,12,7,4696368735640519196633812177245085892437720356687856631500800
54,10,8,4436687228501526301851764964482715598738414744413112230681600
55,8,9,4155582980737668231990993907342839708957229989085655081856000
56,6,10,3828805208807113449091873960372309456313496189813219122764800
57,4,11,3426627356724684838095905888049409752784320581276396501376000
58,2,12,2922433195956103459728140450382154596065646853403722778803200
59,0,13,2311374132551159840132386875937591514296368079523430101990400
