Blue-Blue,Blue-Red,Red-Red,Number Ways Achieve Max Districts {max_districts}
37,35,0,5789019939184919553179350713598100204511023471096356163020800
38,33,1,5179910925714687397389293953592913823896922508394570543974400
39,31,2,4651063900503618666765078045487400329539624246326056915776000
40,29,3,4184825178950138080638212488296518669171636394448640476646400
41,27,4,3769902073454323283762014569719504723016249380999321250278400
42,25,5,3399249212691151152092922587854826338029111496436845840358400
43,23,6,3068255002846976627674312407642364258471595249913043745740800
44,21,7,2773260653245368095623011220828490078969177178268522751201280
45,19,8,2510465414338042181947618219968313814107583181217664410598400
46,17,9,2275197297189214944036305214417176077655662633854006750489600
47,15,10,2061451522010295155804917917724503741373115445879220001856000
48,13,11,1861596141306414821640032812023244427056434199813845542784000
49,11,12,1666251762301434071033582243997469677727328095465815322752000
50,9,13,1464602285896770674914761969734238765103462876468375632000000
51,7,14,1245825318520427900894070422171363323462939904693360553600000
52,5,15,1002833706000772178596058511215494019593660869871454160000000
53,3,16,739249568097137225474701678166262691230754463721445392000000
54,1,17,477090611588041555010055902712144778053408396491362320000000
