Blue-Blue,Blue-Red,Red-Red,Number Ways Achieve Max Districts {max_districts}
9,51,12,417523897301749123904546601604949053680844800
10,49,13,2185860403520921883970861620167086222211481600
11,47,14,6728563010643268857064971966710728349631897600
12,45,15,15978938288813727522891872637683691383183769600
13,43,16,32464609919093848827683291909216021133593794560
14,41,17,59410674590306464238549492136898569100839229440
15,39,18,100796221295346732966114603460146862777937836800
16,37,19,161303559348031727143116576987057615748301721600
17,35,20,246135881644837199851614947438000814299497881600
18,33,21,360760637121396647371845228096869986646763110400
19,31,22,510732800895269458342635933929034214170231235200
20,29,23,701756221322934421675330231855446934709242944000
21,27,24,939948990968480240708718621644355411970957824000
22,25,25,1231981508769913285719021970315170973891056000000
23,23,26,1584437835237384404825580917775249000917074800000
24,21,27,2001308220333405530429158776733391612261808000000
25,19,28,2477747304583985331031105685681002238243040000000
26,17,29,2987097105387828628379703867791148685980000000000
27,15,30,3457641520283157495505680780922956258432525000000
28,13,31,3740240596644809927237718824184958731183900000000
29,11,32,3592491758187006167975434754995563465295200000000
30,9,33,2775988249180304677000119772959756099168000000000
31,7,34,1430436796023321617422490496249042749058000000000
32,5,35,371409072831700409076661847038158676800000000000
33,3,36,33155543922757746166446819528203524800000000000
