Blue-Blue,Blue-Red,Red-Red,Number Ways Achieve Max Districts {max_districts}
8,46,18,177740839868606644319236886927089582080
9,44,19,1290553054698143895709241744209737400320
10,42,20,5426781231607382246572931911893074534400
11,40,21,17334096982580793010484180905748700364800
12,38,22,46615796706739858087979139458531781657600
13,36,23,111043926851302681164050061104650874188800
14,34,24,240996413297190194691605097118629360710400
15,32,25,484587071485367657909689319797844619840000
16,30,26,912773154648180346866816573787043302944000
17,28,27,1624302796944488389809533967097914378048000
18,26,28,2751707573359431791631280671246239422512000
19,24,29,4469166595561919448074558649994190509344000
20,22,30,6999503156667901292258995168074428973600000
21,20,31,10609164663181234478439303292757436780000000
22,18,32,15562150083388921106945547346400481931200000
23,16,33,21968457479317705740500836365389439696000000
24,14,34,29408462341091613834673771598108397134400000
25,12,35,36203302000566665180466507685758330000000000
26,10,36,38558604873181992918174066672738377100000000
27,8,37,31456677751134214356969507021692586600000000
28,6,38,15726714414448558976383462561982354400000000
29,4,39,3636541225426677307689056640664131000000000
30,2,40,275078761378719917374361319263550000000000
