Blue-Blue,Blue-Red,Red-Red,Number Ways Achieve Max Districts {max_districts}
5,29,38,14805441009964725120
6,27,39,220112418561938622720
7,25,40,1910418968021871827520
8,23,41,12449872654948287599040
9,21,42,66183581932231952660472
10,19,43,296094577246649956855080
11,17,44,1132848501813358735925520
12,15,45,3799218130964383629902400
13,13,46,11379988511197676161892100
14,11,47,30446643058274219400924300
15,9,48,70220766899891393866080000
16,7,49,124737429782622764579472000
17,5,50,129441812878060362429750000
18,3,51,49115902272394345438050000
19,1,52,4567802952400844656500000
