Blue-Blue,Blue-Red,Red-Red,Number Ways Achieve Max Districts {max_districts}
9,48,15,400983334743576589584198416907514097172480
10,46,16,2690107611411361561771650283641500824780800
11,44,17,10492775924391133589434567674621666443673600
12,42,18,31257819503918007144056610927653744422502400
13,40,19,78923712885339431293623002089608986804060160
14,38,20,177890827610962345904521590090019038118502400
15,36,21,368429428148121068601436455812950296723456000
16,34,22,713231308830577828441869490162402888740864000
17,32,23,1304341935498739293593578691384528432234496000
18,30,24,2269838699539234402919052446455794479447040000
19,28,25,3781089166475477954720770322111833562265600000
20,26,26,6063123610188113540494290563857269588480000000
21,24,27,9408297723820644852794666475795260017152000000
22,22,28,14185222584032862105077033578413040746240000000
23,20,29,20816967235577192213626055831013403665408000000
24,18,30,29663531851539929962833937936310251714560000000
25,16,31,40665556157430322550102356075150785024000000000
26,14,32,52493092391275476535383324312676483584000000000
27,12,33,60981786211354316119634688804758916096000000000
28,10,34,57795881897533367700723176299939645440000000000
29,8,35,35193059590347225126040130105922385920000000000
30,6,36,7778426726746685317641482587261824000000000000
