Blue-Blue,Blue-Red,Red-Red,Number Ways Achieve Max Districts {max_districts}
52,20,0,6567111368245949974777736649684482453848454859603407128089600
53,18,1,6490975445124074681108707509840557359153039142284079582438400
54,16,2,6375929172239959426317024635037822480124134519103961017113600
55,14,3,6235995072273551156794981088399383652050949478850663735680000
56,12,4,6081301965214236856053859642794335826920776157714660049945600
57,10,5,5914934866566403091896268818318377452467945319723826892108800
58,8,6,5730371958893889821914061084617984604678408198505978308582400
59,6,7,5509206285366422617843051140229321001538533278189365799296000
60,4,8,5219566007115280764240254673642784582697175438148545145113600
61,2,9,4817441290077410299639026604764571708807543904848640684313600
62,0,10,4256096592612570593416195523370474835980836736407639446809600
