Blue-Blue,Blue-Red,Red-Red,Number Ways Achieve Max Districts {max_districts}
5,30,37,88832646059788350720
6,28,38,1214556695265726933120
7,26,39,9670297647048773454720
8,24,40,57678207725930539587840
9,22,41,280162339266267460194192
10,20,42,1144864651759106303745720
11,18,43,4006319066494744368128760
12,16,44,12308559322902555118245840
13,14,45,33879676695461015687868600
14,12,46,84034780168035269541068100
15,10,47,184318801184141157130096500
16,8,48,335160598391198869489200000
17,6,49,431519366107023003557748000
18,4,50,288212266395637014781350000
19,2,51,69676563497006730414150000
20,0,52,4567802952400844656500000
