Blue-Blue,Blue-Red,Red-Red,Number Ways Achieve Max Districts {max_districts}
31,41,0,4528508356659531847877456891463029981214479167176874422528000
32,39,1,3716902726061701429737184952855224892798386122386751096268800
33,37,2,3089676945711747545133319668573363289190407495804911268454400
34,35,3,2594545844084441305235940488233748947882169565522911204044800
35,33,4,2196359327370154932587693975536069596073353213989892193536000
36,31,5,1871213719847254764274870425806018070637969714035414188236800
37,29,6,1602630250301890998262663813035086277753282531604649204160000
38,27,7,1378990737116269870775278811858668883212272385956764570995200
39,25,8,1191785775716143901906042653299246489140355711738176270054400
40,23,9,1034428281266097422797089448914764321829570332222790762624000
41,21,10,901474945946837740572981623047570079613120166543449064320000
42,19,11,788131585610180464497786943804276287419935469726678252160000
43,17,12,689939464677289531556323007954012795241959264001552817920000
44,15,13,602573047774030112961028769470978982293437716923599696000000
45,13,14,521734790662876983557523050543355982790457909841546269600000
46,11,15,443219260918774771579443748070157318589531465689981036000000
47,9,16,363348286843582936610662125670446399239198592476752464000000
48,7,17,280114045845972481066007182688826303918082903083805392000000
49,5,18,195242764901341831564361813203062678399635862720995424000000
50,3,19,116230158187467479909220189352693496696471921560848000000000
51,1,20,54788194465635844482755587703236835431041426565950000000000
