Blue-Blue,Blue-Red,Red-Red,Number Ways Achieve Max Districts {max_districts}
34,38,0,5265540567133041254910748837831622059681871573624899929600000
35,36,1,4531234570048468827798110961735349563483667065704788184064000
36,34,2,3929666068432759083887696564802613562811101001003199414732800
37,32,3,3427561665346640327037487739044655113434583263995406936729600
38,30,4,3002235315365776408827731046057984013816842005864427077798400
39,28,5,2638214554175296684008959487909456325765498075471331159385600
40,26,6,2324784630042219863305637893396294723206728870792223629030400
41,24,7,2054158867575824815581579337854393072041947609214756979532800
42,22,8,1820146855754398740194300419422751776931129970340815185843200
43,20,9,1617242782423276175332185899894001693301934007418075431705600
44,18,10,1440042061060326803303095640627538956359129209535832748288000
45,16,11,1282878075792574902681260636351789842310279763311045379840000
46,14,12,1139594467382137540742265909242830714204029476190533038560000
47,12,13,1003449265952549298511725547658031194308223276729665767840000
48,10,14,867302718605453479654798023232364897167617459554290512000000
49,8,15,724491789484346861606932252566465157231973848909333622400000
50,6,16,571070178597387920010486021249311178832117686100001280000000
51,4,17,409884313054024792756932787059173134633898498523402720000000
52,2,18,254808687897599929992284407700283185147892809100817200000000
53,0,19,128685739948763961104517094993195595374770076328521200000000
