Blue-Blue,Blue-Red,Red-Red,Number Ways Achieve Max Districts {max_districts}
10,50,12,49120458506088132224064306071170476903628800
11,48,13,286703084341657261552701868088872579478323200
12,46,14,982110565510783385318829803453372027574681600
13,44,15,2594517042157504311877248866400921377193984000
14,42,16,5868438074999450728334773432809282021556224000
15,40,17,11974804133181359607762037653245616311500800000
16,38,18,22701025807681455408637008809131890840698880000
17,36,19,40683526794620431632292074296196775595212800000
18,34,20,69664995611167578231778226787302481670963200000
19,32,21,114760995451910484361275380355744703709184000000
20,30,22,182763217853934981035383114570188899352576000000
21,28,23,282594164273266779482506533106262333521920000000
22,26,24,426064806451645226708162583183555658383360000000
23,24,25,628877542549096440559037445978159592243200000000
24,22,26,911288076654447184804254488182540153651200000000
25,20,27,1296606847475709112637778186980435558400000000000
26,18,28,1802674163907715236728771899479318036480000000000
27,16,29,2414451343374301922810617477337771212800000000000
28,14,30,3013385009947772167228755146134737715200000000000
29,12,31,3235825518326621092138856756300918784000000000000
30,10,32,2353327649692088067010077640946122752000000000000
