Blue-Blue,Blue-Red,Red-Red,Number Ways Achieve Max Districts {max_districts}
7,37,28,19206054424083687106042736640
8,35,29,238431918886372259748890910720
9,33,30,1709578028840939390724497786880
10,31,31,9256473971470649905676562067200
11,29,32,41803482114879667882474340966400
12,27,33,165024776054089421798854759833600
13,25,34,583304725048257494665175855462400
14,23,35,1871105107913870198862679963776000
15,21,36,5503082485949495734737740209920000
16,19,37,15005793022577233259415475322880000
17,17,38,38312849305526875516432149073920000
18,15,39,91978664076431987402907809049600000
19,13,40,206039003716582903917804289536000000
20,11,41,417134620612635606171382155264000000
21,9,42,697804191231706735708099696128000000
22,7,43,736351437556765408454346606336000000
23,5,44,225951381081699997985384707584000000
