Blue-Blue,Blue-Red,Red-Red,Number Ways Achieve Max Districts {max_districts}
22,50,0,1399779610291982540357779126752277085917898337753972517017600
23,48,1,935732795202377290340329818781746053707189362719473499443200
24,46,2,646020065807373078184274987109472763778378974181642864875520
25,44,3,458914900288390140573968540446786878710756551602975002112000
26,42,4,334238525586248445141579108185865934027766676285703978368000
27,40,5,248742058404667821970331337731438808976695897030764432640000
28,38,6,188565444743420095732967039360423262263186426286901532160000
29,36,7,145215173025680303821690364624713169803404081473131687680000
30,34,8,113349922430519719771515038043775620194883286011432480000000
31,32,9,89524506860826239748733809598956375180592123743601574400000
32,30,10,71457684028791514325247536166404149183666783609220160000000
33,28,11,57595586170767793779870264559657487612073689685773952000000
34,26,12,46847169637581621703019964087596465198997670414960800000000
35,24,13,38422007081490734037311746616441147097461237355633600000000
36,22,14,31729385210621304517868100037024606476400100495634240000000
37,20,15,26314010368818027694715678336234605398832985199153600000000
38,18,16,21813909524165925257357077730471627666158821062608800000000
39,16,17,17933333745373931967106682732255105006333364711998400000000
40,14,18,14429504551351572072476724206495925531339325498980000000000
41,12,19,11118332398827587458471343792899794994392668443464000000000
42,10,20,7910215425232817267493383297659692641982141381450000000000
43,8,21,4882859042286923857120701596844246785990840195820000000000
44,6,22,2347757619574991235081098128661786480284389760800000000000
45,4,23,728490455383615490272174214340953468452151308500000000000
46,2,24,100632315158097034692252293872924503149546427000000000000
