Blue-Blue,Blue-Red,Red-Red,Number Ways Achieve Max Districts {max_districts}
4,26,42,2701229886875520
5,24,43,37609431501882240
6,22,44,306337763454362640
7,20,45,1842808554279332640
8,18,46,8735827926340418904
9,16,47,33396446880873452376
10,14,48,107618353963656916380
11,12,49,301389288906517502460
12,10,50,735974748067908633900
13,8,51,1510245283806160001100
14,6,52,2349988198670694131550
15,4,53,2252345046653640188250
16,2,54,953125721277406677000
17,0,55,141626956823577225000
