Blue-Blue,Blue-Red,Red-Red,Number Ways Achieve Max Districts {max_districts}
10,51,11,2505143383810494743427279609629694322085068800
11,49,12,13237963567390751634385330486180443525527961600
12,47,13,41249406259655938505894981271286542372443750400
13,45,14,99513304528007393580729061026357665217944371200
14,43,15,206223651229564062996566666040840042731833344000
15,41,16,386621818630542132405833326270756110124400640000
16,39,17,675015054469925644094645518965250949720309760000
17,37,18,1116511732145136086477925018641481008397680640000
18,35,19,1767954520729854347118268993744016948192870400000
19,33,20,2697854260348699736552251297076921301938995200000
20,31,21,3986077328782452124546541188583500355321856000000
21,29,22,5725211740145913089208684026649644009201664000000
22,27,23,8025127151487329167784005164184694396067840000000
23,25,24,11018329154328399056188820054757869480017920000000
24,23,25,14857682726139537189290589363858508460851200000000
25,21,26,19688099374765655745575946818971409694720000000000
26,19,27,25553349065715403981068891260426352476160000000000
27,17,28,32160124014230672648432986933407200624640000000000
28,15,29,38371527599497990151179202757574404710400000000000
29,13,30,41353328216872551973487470175081177395200000000000
30,11,31,35998558891383659650044781413847721472000000000000
31,9,32,18238289285113682519328101717332451328000000000000
