Blue-Blue,Blue-Red,Red-Red,Number Ways Achieve Max Districts {max_districts}
7,38,27,243276689371726703343207997440
8,36,28,2794048349910841255751154155520
9,34,29,18515847657438012981123777392640
10,32,30,92557667677575888918932004403200
11,30,31,385478035794057233218677057411840
12,28,32,1401820817468311570347346706657280
13,26,33,4560518034787300718171522444881920
14,24,34,13456510917780456381988105103370240
15,22,35,36389615484011887981799916384384000
16,20,36,91190242143715750389622207779840000
17,18,37,213891522405100578599195475929088000
18,16,38,472143728468633143164595361648640000
19,14,39,977220511898226443136910491526656000
20,12,40,1857876782570575507772459011584000000
21,10,41,3070305587848151795235411154636800000
22,8,42,3838157747114604273159621850828800000
23,6,43,2501898019613732704965441580339200000
24,4,44,451902762163399995970769415168000000
