Blue-Blue,Blue-Red,Red-Red,Number Ways Achieve Max Districts {max_districts}
24,48,0,2107302735559739251371060214557012528348598531584760035179520
25,46,1,1488981741593171246571505401560721696866105425618883689728000
26,44,2,1081000516507390801697204055384576876198917053765093542336000
27,42,3,803608637671885874601650914288143537226795387644334928064000
28,40,4,609711513571600100145810998155273282893381566542161043238400
29,38,5,470707230678184629137217460086809941215921193120633697664000
30,36,6,368772556920326800201753118819322317041736641992944130720000
31,34,7,292531729923902052959611102060445593831983718728153730080000
32,32,8,234552388016525200729879469808649596990692366830184881920000
33,30,9,189857832428596331129381028362986531029659342460535257600000
34,28,10,155022789141220465745054586108124504709267179255988476800000
35,26,11,127615449875152626238666430656791837247821998515697520000000
36,24,12,105850514653321428502746391047269408428702130508849168000000
37,22,13,88371865059324334419909029335458747563283544878706080000000
38,20,14,74114056229435508770695565121253342045390543766255832000000
39,18,15,62211538235553457927775991211746590113951477645588920000000
40,16,16,51939151810368301149629652969599843218500472206334800000000
41,14,17,42680308874209246511750323016548184232842982604840800000000
42,12,18,33933271460950132002975158263557856219323853854952200000000
43,10,19,25381459663522387963532478121882537942539884834841000000000
44,8,20,17056207603246278635946231620983284529214655995493000000000
45,6,21,9546547094369128250003939273625725493787115440650000000000
46,4,22,3942769798868889199804200475786306051783481499637500000000
47,2,23,994315886704151950737651926392134721460575207687500000000
48,0,24,107493609373421832512178586636987537455197319750000000000
