Blue-Blue,Blue-Red,Red-Red,Number Ways Achieve Max Districts {max_districts}
8,43,21,234177654635845381184765331919749120
9,41,22,2130938857300931890581635362552135680
10,39,23,11184468810073617255027305498485862400
11,37,24,44418566278875539305776588133819852800
12,35,25,147925782230511362230007184827008512000
13,33,26,434425227415582507792199255388572928000
14,31,27,1156297517775721141908502455503727264000
15,29,28,2833841633322703049492491604374976160000
16,27,29,6459953697762359943462056655382229760000
17,25,30,13808783626043778939149952629564304000000
18,23,31,27901422791244961764848216360328542400000
19,21,32,53686211078865884346869271537250944000000
20,19,33,98879264530559660433016260392518656000000
21,17,34,174429171583411143781868282043287040000000
22,15,35,292559291295047893139105640415777920000000
23,13,36,456541119315248137052023968635128320000000
24,11,37,630374160914059653878880538016732160000000
25,9,38,685468943928072888997963987749312000000000
26,7,39,434296215447011509177886008861152000000000
27,5,40,86724338562749136512113913462400000000000
