Blue-Blue,Blue-Red,Red-Red,Number Ways Achieve Max Districts {max_districts}
8,40,24,18975581770994682860770223800320
9,38,25,218949020434554033008887197696000
10,36,26,1457583806022351172804540661760000
11,34,27,7348651688696020496222892503040000
12,32,28,31109411232457436305838088437760000
13,30,29,116327530164102361240862383257600000
14,28,30,394942058686508444834877381427200000
15,26,31,1236857309525536453570438022400000000
16,24,32,3609663425502410845592421285888000000
17,22,33,9901477110636535301893646991360000000
18,20,34,25760505294454925268541698342912000000
19,18,35,64102000860504704838773603450880000000
20,16,36,153292751000514903536013769113600000000
21,14,37,351069973955359292744455971225600000000
22,12,38,753946192105073018013211567718400000000
23,10,39,1423168632824601214557766785024000000000
24,8,40,1897558177099468286077022380032000000000
