Blue-Blue,Blue-Red,Red-Red,Number Ways Achieve Max Districts {max_districts}
53,19,0,6572991785072436277947295810891940083113547943461403971046400
54,17,1,6512321187878466564107439990140180155002180439689256024857600
55,15,2,6413061696773801907898273219079607005124921206312664658368000
56,13,3,6289431490420097723721150092878038792663174384116380706841600
57,11,4,6150635959842147717871634965539504753364171155735667163212800
58,9,5,5997697410674073542860211009947119762456012159987193759718400
59,7,6,5820792549061018675065332571325564632465201476026396947072000
60,5,7,5596860570734940213911157689183473385391486208856352515865600
61,3,8,5288310666880254677128415981615782817365429363853518394649600
62,1,9,4845984240795961471141882422462576634544495116803267865881600
