Blue-Blue,Blue-Red,Red-Red,Number Ways Achieve Max Districts {max_districts}
5,28,39,2042129794477893120
6,26,40,33119779642980750720
7,24,41,314610167055248064000
8,22,42,2251443892985414487360
9,20,43,13183458437835992097792
10,18,44,65110955333658828834240
11,16,45,275273321403324577132800
12,14,46,1021103732267065752505200
13,12,47,3380635797453720458452800
14,10,48,9916344202448072549160000
15,8,49,24233796468953541117648000
16,6,50,39821388412219117704000000
17,4,51,26492024248634102558400000
18,2,52,3846570907284921816000000
