Blue-Blue,Blue-Red,Red-Red,Number Ways Achieve Max Districts {max_districts}
32,40,0,4799043566858808653924214204332298344019843515440248864614400
33,38,1,4005515218475772738955302430240269680000352130903811987404800
34,36,2,3380042845178980470633758589284602219889255086538802760704000
35,34,3,2876894120938740268283524726206307600692978771054370477056000
36,32,4,2465041480876965874373347964833678900431834220613768036812800
37,30,5,2123259197058464425492188039277619106398527380796155759129600
38,28,6,1836837062522535345779308970803593133613257620884642304345600
39,26,7,1595302348218815765490204728667362485185317802176870259801600
40,24,8,1390826008928036029493519697969477420058609601966634729600000
41,22,9,1217133741740866195436322974764352253327568772017648001664000
42,20,10,1068794831093339042510498904740903436594563639260528567680000
43,18,11,940773965621218026433701608468626720142346842299262040960000
44,16,12,828147249897869078802319593464994409743034510895048751360000
45,14,13,725924929920012463633329815482211647206798774498289934400000
46,12,14,628999437612136732990164951557598682898025070297087927200000
47,10,15,532362244648489391346783784161250904434169789782127796000000
48,8,16,431912670188432461611068468344242802764322802562576336000000
49,6,17,326309960413959563118648162552427014992732939820112944000000
50,4,18,219876408945019367213180126765010326450786053953496800000000
51,2,19,124422420017045031299415469572621051531862654226834400000000
52,0,20,54788194465635844482755587703236835431041426565950000000000
