Blue-Blue,Blue-Red,Red-Red,Number Ways Achieve Max Districts {max_districts}
21,51,0,1082670905875895108872880559477998248184575481039010522009600
22,49,1,702140460576590191091002278748863642904588052981056128000000
23,47,2,471594615181988698586053227358194499190874537600807338380800
24,45,3,326780182404313770453948244083391922825268143518804383313920
25,43,4,232734798154908974583461467881091855099732665541535663616000
26,41,5,169760828388707263338744289377959581188780226127611975680000
27,39,6,126399450615604371588669943677927572258619542679637393920000
28,37,7,95784855304766269976598395756541941705923046899335521280000
29,35,8,73688510973526960713447124088443239276975705807770764800000
30,33,9,57436609287801329054863064930454284896324134734326809600000
31,31,10,45293138569060676960418812039538585448746209063759580000000
32,29,11,36099264287941073942442612210612763158410603474207616000000
33,27,12,29058305912019437952262589964612800936736488745984000000000
34,25,13,23605627239583600130241375429510099117071287121994240000000
35,23,14,19328746020513486687652618922001112253662023464866080000000
36,21,15,15917199377889102509496899165235271868393300723731200000000
37,19,16,13130159345753328277855227944682750418433289612177600000000
38,17,17,10775289587136109029038543159774450658802543677014400000000
39,15,18,8696410596884769172818152026271160231836809096059000000000
40,13,19,6771324161138544357804760959431758225730698270056000000000
41,11,20,4925074448289287144919557189117843142223869163800000000000
42,9,21,3165006827203276768557194352051264315278897278560000000000
43,7,22,1627338732484001480500972471454410882560885694500000000000
44,5,23,557901666064889647404969721973759226156615843600000000000
45,3,24,87506361007040899732393299019934350564822980000000000000
