B3,B2,B1,B0,Number Ways Achieve Max Districts (12)
0,38,10,0,7508539795423663683432345600000000
1,36,11,0,3343062526269710857630617600000000
1,37,9,1,592779457533447132902553600000000
2,34,12,0,1550534066268954894351544320000000
2,35,10,1,498433177505601192830976000000000
2,36,8,2,96126398518937372903116800000000
3,32,13,0,758886951220652918179676160000000
3,33,11,1,326176047585725760183720960000000
3,34,9,2,113978443958168599299409920000000
3,35,7,3,24031599629734343225779200000000
4,30,14,0,394297596910331948226032640000000
4,31,12,1,200124211743860560562165760000000
4,32,10,2,93004051646862560236032000000000
4,33,8,3,35542533906161717712076800000000
4,34,6,4,8239405587337489105981440000000
5,28,15,0,217847401969706578868198400000000
5,29,13,1,122339958242760273029414400000000
5,30,11,2,66654073492874511061017600000000
5,31,9,3,33673001518363438655424000000000
5,32,7,4,14172952570019032062873600000000
5,33,5,5,3635031876766539311462400000000
6,26,16,0,127801628705508635740262400000000
6,27,14,1,76492913406272123310950400000000
6,28,12,2,45754782546890190995020800000000
6,29,10,3,26868716939003850284774400000000
6,30,8,4,14846304027152227761331200000000
6,31,6,5,6939606310190665958246400000000
6,32,4,6,1982744660054475988070400000000
7,24,17,0,79270597114571090962685952000000
7,25,15,1,49486650516736043266656000000000
7,26,13,2,31306493020231362065932800000000
7,27,11,3,19998478374381940892659200000000
7,28,9,4,12714120392997448510525440000000
7,29,7,5,7738552323411392419896960000000
7,30,5,6,4057431108780832919136000000000
7,31,3,7,1301176183160749867171200000000
8,22,18,0,51591940446865998611367936000000
8,23,16,1,33241128778161568952303616000000
8,24,14,2,21775861152766254306060288000000
8,25,12,3,14578419011581690417152000000000
8,26,10,4,9970902934517760947712000000000
8,27,8,5,6895831215916237841326080000000
8,28,6,6,4662170068014263125601280000000
8,29,4,7,2775842524076266383298560000000
8,30,2,8,1007362206317999897164800000000
9,20,19,0,34805479683974766239176704000000
9,21,17,1,23125324304370330752726016000000
9,22,15,2,15533559902114763764935680000000
9,23,13,3,10676157360152208083647488000000
9,24,11,4,7569229610617325077819392000000
9,25,9,5,5555671913858982684088320000000
9,26,7,6,4201159266910878753761280000000
9,27,5,7,3186672069739945487500800000000
9,28,3,8,2188407551656344604185600000000
9,29,1,9,906625985686199907448320000000
10,18,20,0,23868853072434198805616640000000
10,19,18,1,16519963463987281243545600000000
10,20,16,2,11378856246804195197368320000000
10,21,14,3,7955817686425902103050240000000
10,22,12,4,5730737158128391491962880000000
10,23,10,5,4302294959547860072878080000000
10,24,8,6,3394543760344902846320640000000
10,25,6,7,2821428516217674588825600000000
10,26,4,8,2430644987877312286080000000000
10,27,2,9,1965100658630186991513600000000
10,28,0,10,937888950709861973222400000000
11,16,21,0,16108129456829474817392640000000
11,17,19,1,11919632904044641875939840000000
11,18,17,2,8514006649810683525504000000000
11,19,15,3,6060893086812035199087360000000
11,20,13,4,4398370404811166907002880000000
11,21,11,5,3312493942534557050350080000000
11,22,9,6,2629320476267417289477120000000
11,23,7,7,2231056411349118163050240000000
11,24,5,8,2048208429441517470167040000000
11,25,3,9,2035432786903810137043200000000
11,26,1,10,1992393723333384033062400000000
12,14,22,0,10095491035814908474662912000000
12,15,20,1,8434743648274981362124800000000
12,16,18,2,6420577928704676302325760000000
12,17,16,3,4710045992569297414594560000000
