Blue-Blue,Blue-Red,Red-Red,Number Ways Achieve Max Districts {max_districts}
42,30,0,6288772495912600060508453908268784631922125406063266504819200
43,28,1,5909714190940775590793440879350792951475047001386738371443200
44,26,2,5542002735609345947367376245169999812690205434231510039129600
45,24,3,5185235204428724337810126287124065556725478650785887721459200
46,22,4,4841917682825582136740143197199219078834519836507486466579200
47,20,5,4515511627816145427294644696535905746614706206202622204371200
48,18,6,4208591834571900358606809533668018818788128876713235854996480
49,16,7,3921383161531375426321014804660226999627596640586117277803520
50,14,8,3650714681182452517205629420611434986370003807634048716928000
51,12,9,3389270161313913527024703787332277813195130033819881086336000
52,10,10,3125059623988186265161003062200088349845725614243155562137600
53,8,11,2841364992698632501748796991752134183014323775093206882662400
54,6,12,2518121256899807537400956215729074961040464407228962899315200
55,4,13,2136782983608453966372396333619005455439275862364836528576000
56,2,14,1691329593699139053547300320485382918270556505740732914816000
57,0,15,1204755793211082768433621770961694983377142600042042512000000
