Blue-Blue,Blue-Red,Red-Red,Number Ways Achieve Max Districts {max_districts}
33,39,0,5044659484215462627605067848694116740025876563034860278988800
34,37,1,4277388354080715816964281254848045629641893894669459387392000
35,35,2,3660769356838587986540394568016625448689453687502394721024000
36,33,3,3155455086014165337513441335277836946364411945243343988172800
37,31,4,2734612169758134721086012647157573746730013181489892885849600
38,29,5,2379856865039073945286745566127107801931954618659560267609600
39,27,6,2078425609575557828855761338087312128513936332760231894169600
40,25,7,1821143321778205950812141002256147708124432361636292551910400
41,23,8,1600970708930304535918743603619204516023329365528476224793600
42,21,9,1412008053548171359297705620362782648621007464708771849804800
43,19,10,1248850419668264331096188605042586227509431691618450640128000
44,17,11,1106184444167024437655599434148458513043473263480561995008000
45,15,12,978533252717611554722146750257209647749258772528553354400000
46,13,13,860112352552756049642478534631582423112042105086174622880000
47,11,14,744867552958388635164479510242277066195990508743657016000000
48,9,15,626944955199530401801233934442945551963983898953943286400000
49,7,16,502077597918984015401416657649096193079341808906872480000000
50,5,17,370415649842962889131201009664907869134256753380080480000000
51,3,18,240256040057349625889849717772542309404840186088629200000000
52,1,19,128685739948763961104517094993195595374770076328521200000000
