Blue-Blue,Blue-Red,Red-Red,Number Ways Achieve Max Districts {max_districts}
35,37,0,5462419711278904876672832906060332801416172782270147281664000
36,35,1,4766348290971061556909218624584973876273976667749413248153600
37,33,2,4185066920230480248564450449908433347945927513160800454707200
38,31,3,3690971695446909943470451932167864182771838498534081659084800
39,29,4,3265387612844937336860466934330355037447829476582271780838400
40,27,5,2895743220153032538951641727168385974455601971573209202150400
41,25,6,2573405296928246356391829229104798569592965271023457415142400
42,23,7,2292006430003148903134798516263380639875488280155600939340800
43,21,8,2046212715054610389184808849769700595615929250269758168268800
44,19,9,1830885968630798411683526416529436324126359571206571323596800
45,17,10,1640553317200663972242820145609505634814748751082598376320000
46,15,11,1469076097801968140190529256360512642392112452601580734080000
47,13,12,1309449504676432161036464657203476340612407606149125146240000
48,11,13,1153782731788468588234575909795239546663489358540399891840000
49,9,14,993732090450623850893608817557346035702132992687499943040000
50,7,15,821998964305262781560032142457876260586028196614589520000000
51,5,16,635768132188029693422380128819252847045820603282749200000000
52,3,17,442205124422324283136787196508095897219587773188687120000000
53,1,18,262376064774530088125550446462708440534280173067154960000000
