Blue-Blue,Blue-Red,Red-Red,Number Ways Achieve Max Districts {max_districts}
26,46,0,2853719260605763902216123382789973897196163480230688565184000
27,44,1,2118177922583705323922180837103001543537088949106086889920000
28,42,2,1607990887971141872506930113474177354852055239459834489638400
29,40,3,1244494407452360882264742413388735164311290631048437935193600
30,38,4,979042047567138375392247925564871831836385924233580750304000
31,36,5,780824862004555030374719156957369797813676629488621824160000
32,34,6,629900323602730076125122484112127578215361400313354202880000
33,32,7,513085249919841550928515950066508951771243400743327814400000
34,30,8,421467518393712229303441295653953742295173749512089845120000
35,28,9,348861958120327267064006505915190650057231821624650646400000
36,26,10,290837461330594078870518287239007618948953574072478864000000
37,24,11,244101457350136897804402923458954528898990025309554960000000
38,22,12,206110961624708853164570370075241987364271338690643816000000
39,20,13,174825091272982572017896559286286213402492860584624856000000
40,18,14,148543737141609624989927027802179205248222628732430800000000
41,16,15,125800901201179289583082178673014351624902902698490000000000
42,14,16,105303951962444123835616423197496145311928845921585800000000
43,12,17,85936334795054675449946647612526311066678115444718600000000
44,10,18,66873764953332985556320231161437784079858689862840200000000
45,8,19,47885602764621091193342762344222634673002559934317000000000
46,6,20,29811221786141614061592508390890698589391464215092500000000
47,4,21,14787210375007086344985837749474719375298737497997500000000
48,2,22,5152527009299353171750426919466269295352458193350000000000
49,0,23,1053437371859533958619350149042477867060933733550000000000
