Blue-Blue,Blue-Red,Red-Red,Number Ways Achieve Max Districts {max_districts}
6,36,30,173027517334087271225610240
7,34,31,1903302690674959983481712640
8,32,32,12104266944199305954475837440
9,30,33,57854820636798668327302698240
10,28,34,228400620128850594689173990080
11,26,35,777303951058843055094371604480
12,24,36,2331169637130107560176408018000
13,22,37,6256101456702318079542870426240
14,20,38,15267910588166628805453718061384
15,18,39,34386197652447209603787196964520
16,16,40,72156485452767866388151486372800
17,14,41,141200539778070509072375642803200
18,12,42,254367488605813300416837226888800
19,10,43,406593383000401334476827332244000
20,8,44,530720758503025765171696513314000
21,6,45,476059532432014847360660616000000
22,4,46,221754981497019882966559810305000
23,2,47,41440836585558074451574112325000
24,0,48,2351253139606131883777254600000
