Blue-Blue,Blue-Red,Red-Red,Number Ways Achieve Max Districts {max_districts}
7,39,26,2371947721374335357596277975040
8,37,27,25249559549528687315410851102720
9,35,28,155012497825572773851048991447040
10,33,29,717491450408863209352750545868800
11,31,30,2765662180155277819900954240811040
12,29,31,9306777779812659355150486617072000
13,27,32,28022660852777898481983896898370560
14,25,33,76579098979625870169002603086264320
15,23,34,191997594495443693667394163435155200
16,21,35,446565691614595882103258489381376000
17,19,36,973466480912886143991374299020288000
18,17,37,2001953756974377425033212574432256000
19,15,38,3882265289315605068690132533214000000
20,13,39,7010439609661321985732818645087680000
21,11,40,11381852134321611325700972371516800000
22,9,41,15302275337807384677424261350963200000
23,7,42,14012178742843239174087580318209600000
24,5,43,5888601106508758811132741913331200000
25,3,44,706098065880312493704327211200000000
