Blue-Blue,Blue-Red,Red-Red,Number Ways Achieve Max Districts {max_districts}
6,33,33,484670916902205241528320
7,31,34,6717924441948464129024640
8,29,35,54025083856243301892330240
9,27,36,327583616878135105885837440
10,25,37,1644337825967806894642798080
11,23,38,7118562805696917130438602720
12,21,39,27097540895482935762511186560
13,19,40,91877131901809883535937430400
14,17,41,281896623587950289857825286400
15,15,42,793178019656864122013042310000
16,13,43,2053461551774989462557298848000
17,11,44,4809624690355706070953943840000
18,9,45,9601987321704503023053275520000
19,7,46,13790617396904969417843046000000
20,5,47,9137714064857408457788961600000
21,3,48,1486958507260794867210912000000
