Blue-Blue,Blue-Red,Red-Red,Number Ways Achieve Max Districts {max_districts}
16,56,0,120714167644827917036667926384719334183983915523367429734400
17,54,1,65123204295938456055161311700707527123057145927856750592000
18,52,2,37023893872174719769615251450192444807759500929898584473600
19,50,3,22072466611414638303536134952534695487683728322368287539200
20,48,4,13733191325923095050484595401802684048868445220113186816000
21,46,5,8876498186396456523035426559277180809127645245575331840000
22,44,6,5933807800917320002845138931744587708745898200855633920000
23,42,7,4085203364737234032110027628260334754194637742103306240000
24,40,8,2885222988701916759888745115614368698591535652718592000000
25,38,9,2083078322292317504425806151222953113761821841158144000000
26,36,10,1532838051105556812119495908033766196163313953013760000000
27,34,11,1146892245261835538611852152481913416609902304112640000000
28,32,12,871018297531277176188825386678266736620809982033920000000
29,30,13,670617247542765169274783951167773217856752491018240000000
30,28,14,522923898822250009837915958639229671954105428992000000000
31,26,15,412501991944071860831854393002951158104970215680000000000
32,24,16,328578345449332371685751217889877679592031404032000000000
33,22,17,263418452588300780377984561574273563344054534144000000000
34,20,18,211304662580949301062062944020677680304032972800000000000
35,18,19,167888136340991716643830465939538352308022558720000000000
36,16,20,129824207414908192117725769188324278646467788800000000000
37,14,21,94718089749192209496040592567529909475205529600000000000
38,12,22,61521541485284309670178480823654584628696678400000000000
39,10,23,31512216946199731379524593126361838052521164800000000000
40,8,24,9241119339061504803379646078111975968481280000000000000
