Blue-Blue,Blue-Red,Red-Red,Number Ways Achieve Max Districts {max_districts}
49,23,0,6535685923787733105000255305630252534535894016430386270310400
50,21,1,6397825745507394130429354154241056956164569376818432590848000
51,19,2,6225176680200588306431487535857200835486284689147306697856000
52,17,3,6029624875199703319807580248287544096392780179447926857292800
53,15,4,5821996838673933376627111627309797144435870198711052599667200
54,13,5,5609086602642177932776755815362677611477294288836318472256000
55,11,6,5391305994611142187425981607978617588464286819263752790784000
56,9,7,5160779831026548248531521220115073803566260172597194842700800
57,7,8,4899736480908261012217556682179769187724657119474643682201600
58,5,9,4579714406948201763292499333151241765015357117018149378662400
59,3,10,4163643159980720393551810055267302142061403031974295781657600
60,1,11,3615226207323608980719887164928027753130216739767416313369600
