Blue-Blue,Blue-Red,Red-Red,Number Ways Achieve Max Districts {max_districts}
25,47,0,2479880770385748177340022730080418542190613608256506038208000
26,45,1,1797219179549197723218447625132534850441348624651477075904000
27,43,2,1335113612838628728662555672291853462282895789685474426688000
28,41,3,1013318372610098453677977392737028133026471736727567170086400
29,39,4,783300898320260393971648770452062061207917678076598227769600
30,37,5,614937154703356716137803873804506394164309646859344471200000
31,35,6,489079904537231040775925621664674721298315268990082751680000
32,33,7,393283323210094103328036162280891989561654747055958926080000
33,31,8,319272338794110722532964356151488983804583098842206983040000
34,29,9,261405516023525934551396808559259696459530023765879093120000
35,27,10,215723022397627368015049276681979649198632076088210032000000
36,25,11,179350980298351946361150189193136744770628733361891920000000
37,23,12,150127607963443966137721971089664580626543843422554584000000
38,21,13,126367061563315036765131523135008658038486322429839192000000
39,19,14,106707168958973249741183559725644669042049269312494144000000
40,17,15,90008695759053933353979596254386484731904145675946000000000
41,15,16,75291651403112714092825287422221284736058438800384200000000
42,13,17,61712205753998713382359641959855031000343028326825800000000
43,11,18,48605375285752998455589232984490739623611482785537400000000
44,9,19,35639626216547912238976140523936372850147885610738600000000
45,7,20,23110450228485771532243360230370951025823374141377500000000
46,5,21,12210344269735020363823830763159697452435664279437500000000
47,3,22,4640140804619375770109042323163295366816017635875000000000
48,1,23,1053437371859533958619350149042477867060933733550000000000
