Blue-Blue,Blue-Red,Red-Red,Number Ways Achieve Max Districts {max_districts}
51,21,0,6559272713500419020929650165904260216854708673861631857792000
52,19,1,6465208856554047574752612360541593372929754444960328614220800
53,17,2,6332720738180522342850529573652662702449639307898343127219200
54,15,3,6175359079078478308809379144780369835732169753048922033536000
55,13,4,6003815859330895729321168110863205883636437980230970534016000
56,11,5,5822809797248694879163995383321896988006085111681649384473600
57,9,6,5628605588518851229810803901779314012733926829259780257561600
58,7,7,5406865101236038474485450160226039101022268586217230555929600
59,5,8,5130961177405851083615486931176517645473686914097802850585600
60,3,9,4762227057539885082633502236102857262299998937461001218329600
61,1,10,4256096592612570593416195523370474835980836736407639446809600
