Blue-Blue,Blue-Red,Red-Red,Number Ways Achieve Max Districts {max_districts}
11,58,3,5272621915655181302661539036624830506081944239000780800
12,56,4,10114630426220556509824404286229484292066452015651225600
13,54,5,12993075985243486541044705850656022724622530272909721600
14,52,6,14216552029599443222486345498650306108994686391220633600
15,50,7,14405556891795026565288476260789829989784962835049676800
16,48,8,14044848604126530192227738632198739726127072738882355200
17,46,9,13435562953668917720824522909221860760088170328758681600
18,44,10,12743198252874826294303107623886751569376479226576896000
19,42,11,12049285032986099845023120055178048448800476314648576000
20,40,12,11388169938918598553433581884749976819730439848755200000
21,38,13,10770155438833753597695099055357756498848908121538560000
22,36,14,10195325704327229062755528268261581244600827514060800000
23,34,15,9661338873521827501376888207979365070266292972748800000
24,32,16,9167037219763099990482903633995426151164069806080000000
25,30,17,8712938384785428841444137590584853722796673761280000000
26,28,18,8299557486973357051471635686548599885864436531200000000
27,26,19,7924488095003627394697694363727975216146910412800000000
28,24,20,7578766835138353559567880889707171416008453324800000000
29,22,21,7242433505167454988890168814102567277168405708800000000
30,20,22,6878820069699664799558672839851114205796106240000000000
31,18,23,6427552107870933425002621958962016145472118784000000000
32,16,24,5798847935456208193292592581553041821264773120000000000
33,14,25,4879667966467354142093363041969216549080268800000000000
34,12,26,3580922441742891944620137295554634125238272000000000000
35,10,27,1979676489989562764422439117160261139193856000000000000
36,8,28,552101013144499575735341586459036971089920000000000000
