Blue-Blue,Blue-Red,Red-Red,Number Ways Achieve Max Districts {max_districts}
28,44,0,3577070199137119493352283615203726600999688669472942645798400
29,42,1,2773990949268214661487117262144529207158236667136372634585600
30,40,2,2190946954154507652740523431657494635458840129762067825024000
31,38,3,1757263809397310805123694611293480172253533403706922131328000
32,36,4,1427476876830116679608262022626044805189555101071585189324800
33,34,5,1171765844056799665388480676409923331212229097405039346739200
34,32,6,970213964154634569395995344677388919661042563552319814297600
35,30,7,809259492019900881894340035578277842808757228212989647104000
36,28,8,679442511242736828300674088445466304309036831741625472640000
37,26,9,573949171139323636704044010993508854740735091404507242368000
38,24,10,487669206455930493738193081355396308810688597310911523840000
39,22,11,416592101120001199376815427690300254200969756304339054080000
40,20,12,357423219304637907266986470075100062873499569668505072000000
41,18,13,307336493393404779513139644593003339649936804911578569600000
42,16,14,263811371845188866257934363247708601699750371910774032000000
43,14,15,224535627670795713670770321970141515072673824110321040000000
44,12,16,187398355718546943317604422151515700106695421732126056000000
45,10,17,150655272140167024696566474252379252972511938515949080000000
46,8,18,113406401799935166258765746483853923613388627865449200000000
47,6,19,76469234427718900741713663064245307438013812423069680000000
48,4,20,43204279554866472742389623309711728365743237597130000000000
49,2,21,18622940669482022068462076982637891336825028524410000000000
50,0,22,5419858942175863120432888447972168736327992397250000000000
