Blue-Blue,Blue-Red,Red-Red,Number Ways Achieve Max Districts {max_districts}
23,49,0,1744299215434265225976794522063731943165242879825039969459200
24,47,1,1199793935246054187885395983323811065390209402185459870878720
25,45,2,850059316903290142241759633193363025318717385664392534208000
26,43,3,618157786368600615517171061500185915196603836298173369024000
27,41,4,459801303057462489044550511350662378712927725507541936576000
28,39,5,348714139548616132069754828604635864699546234879866954560000
29,37,6,268868680425580734739479649516908050187552366939458432160000
30,35,7,210234161432274629013659999838990626063358470640556120800000
31,33,8,166377299201803358839079159792554076629361092395267168000000
32,31,9,133068854595532258829021495908303206645526600801843449600000
33,29,10,107453706328707999183806753916910669390454626093640304000000
34,27,11,87546954923524794251522012231469116824856320471473456000000
35,25,12,71924250031824472277797892418060371339209771296674640000000
36,23,13,59529721774214738201804576759315176221956031831386160000000
37,21,14,49555020225958024075616620433619074760394989514907160000000
38,19,15,41361090254150833837639248201252325988419271565119400000000
39,17,16,34426572128526501864596133922230289332624967510338000000000
40,15,17,28316234876288697171308659235698216417073380276122000000000
41,13,18,22671955742797793732699713466726328875446326849849000000000
42,11,19,17238939296479588869618864966046733622465919091241000000000
43,9,20,11946895440362413630113995797509938693800275548625000000000
44,7,21,7042975704109296633659211909882440298392846554035000000000
45,5,22,3147070653607474688063646799393737787560565063237500000000
46,3,23,881104532151292786708868095785094655417335477312500000000
47,1,24,107493609373421832512178586636987537455197319750000000000
