Blue-Blue,Blue-Red,Red-Red,Number Ways Achieve Max Districts {max_districts}
27,45,0,3221489929616793191363094655633460074025700745792989402816000
28,43,1,2445678432481535805204864198389242196991545275945818690854400
29,41,2,1894874955412857135721892694432716449482702555120264376857600
30,39,3,1493734826136712423707071926831182691450783094013542312064000
31,37,4,1194694509543914558707419771891328128144736148563432462848000
32,35,5,967070496887459854772695201566868489530648714783098662348800
33,33,6,790670011682544627456328000985464464563643291155934647347200
34,31,7,651936144101099442867987814261379385854718357408833913753600
35,29,8,541557290393057460140769108938112243907016457415030909056000
36,27,9,452952702631060491278235791416066416701061973946062793856000
37,25,10,381303907371666687109013552899608679027490365562380992000000
38,23,11,322936956902783626268549580817220496074819073335238516480000
39,21,12,274930434608471421260350710716332818883013999042033097600000
40,19,13,234864411147026666626487490405800042734344979634296406400000
41,17,14,200655344690494297984042123095717640448910958202728464000000
42,15,15,170449516194065360569648891576993914913924731058147872000000
43,13,16,142578053527201143490944678697501527224053831295876232000000
44,11,17,115615629827644731404115725384709319785179690969294856000000
45,9,18,88630963427852737505450060714863335753833724909186960000000
46,7,19,61722056634853785961904999930574289049570950401491760000000
47,5,20,36699677303525634660355922073938759649996759175830000000000
48,3,21,17006236784505757707478911039617598773498860835370000000000
49,1,22,5419858942175863120432888447972168736327992397250000000000
